,JOBS,Skills,LOCATION
0,Python,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Chennai
1,PythonDeveloperPythonProgrammer,"DataScience,Matplotlib,Git,Panda,Aws,Numpy,PythonScripting,BusinessProcess,Testing","Ahmedabad,Bengaluru/Bangalore,Chennai,Delhi,Delhi/NCR"
2,"PythonDeveloper,PythonProgrammer","python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis","Delhi,Delhi/NCR,Noida/GreaterNoida"
3,PythonLead,"python,django,postgresql",Chennai
4,PythonDeveloper,"rest,python,security,debugging",Kolkata
5,PythonEngineer,"python,hadoop,machinelearning",Kolkata
6,PythonDeveloper,"python,linux,windows,sql",Indore
7,Pythonintern,"python,webdeveloper,webservices",Raipur
8,PythonDeveloper,"rest,python,database,django,api",Cochin/Kochi/Ernakulam
9,PythonDeveloper,"python,django,javascript,webprogramming",Indore
10,Pythondeveloper,"Python,Django,Flask,unittesting","Mohali,Chandigarh"
11,PythonEngineer,"python,git,restapi,linux",Pune
12,PythonDeveloper,"python,git,django,GITHub","Gurgaon,Chandigarh"
13,Pythondeveloper,"Python,Django,Flask,GITHub","Mohali,Chandigarh"
14,PythonTrainer,"python,webtechnologies,webtechnologies",Pune
15,PythonDeveloper,"rest,python,django,git,postgresql,sql,docker",Bengaluru/Bangalore
16,PYTHONDeveloper,"python,django,html5,oops,javascript",Coimbatore
17,PythonDeveloper,"python,django,html5,javascript",Gandhinagar
18,PYTHONDEVELOPER,"python,django,api,sql,nosql",Bengaluru/Bangalore
19,PythonDeveloper,"PythonDeveloper,TestingTools,ToolAutomation",Pune
20,PythonLead,"informationtechnology,devops,technologyconsulting,python",
21,PythonDeveloper,"rest,python,devops,debugging,shellscripting,storage",Thiruvananthapuram
22,PYTHONDeveloper,"python,css,django,html,bootstrap",Noida/GreaterNoida
23,PythonDeveloper,"python,django,testingtools,debugging,storage",Noida/GreaterNoida
24,PythonDeveloper,"python,java,scala",Bengaluru/Bangalore
